CVE ID,#,Product Type,Vendor,Product,Version,Year
CVE-2016-1000115,1,Application,Huge-it,Portfolio Gallery Manager,1.1.0,2016
CVE-2016-1000114,1,Application,Huge-it,Gallery,1.1.5,2016
CVE-2016-1000113,1,Application,Huge-it,Gallery,1.1.5,2016
CVE-2016-1000112,1,Application,Contussupport,Contus-video-comments,1.0,2016
CVE-2016-1000033,1,Application,Gnome,Shotwell,0.22.0,2016
CVE-2016-1000033,2,OS,Redhat,Enterprise Linux,7.0,2016
CVE-2016-1000032,1,Application,Python,Tgcaptcha2,0.3.0,2016
CVE-2016-1000031,1,Application,Apache,Commons Fileupload,*,2016
CVE-2016-1000009,1,Application,Tp-link,Tp-link,-,2016
CVE-2016-1000007,1,Application,Redhat,Pagure,2.2.1,2016
CVE-2016-1000003,1,Application,Mirror Manager Project,Mirror Manager,*,2016
CVE-2016-1000001,1,Application,Flask-oidc Project,Flask-oidc,*,2016
CVE-2016-1000000,1,Application,Ipswitch,Whatsup Gold,*,2016
CVE-2016-10088,1,OS,Linux,Linux Kernel,*,2016
CVE-2016-10085,1,Application,Piwigo,Piwigo,*,2016
CVE-2016-10084,1,Application,Piwigo,Piwigo,*,2016
CVE-2016-10083,1,Application,Piwigo,Piwigo,*,2016
CVE-2016-10082,1,Application,S9Y,Serendipity,*,2016
CVE-2016-10081,1,Application,Shutter-project,Shutter,*,2016
CVE-2016-10074,1,Application,Swiftmailer,Swiftmailer,*,2016
CVE-2016-10072,1,Application,Wampserver,Wampserver,3.0.6,2016
CVE-2016-10045,1,Application,Joomla,Joomla\!,*,2016
CVE-2016-10045,2,Application,Phpmailer Project,Phpmailer,*,2016
CVE-2016-10045,3,Application,Wordpress,Wordpress,*,2016
CVE-2016-10041,1,Application,Sprecher-automation,Sprecon-e Service Program,3.42,2016
CVE-2016-10039,1,Application,Modx,Modx Revolution,*,2016
CVE-2016-10038,1,Application,Modx,Modx Revolution,*,2016
CVE-2016-10037,1,Application,Modx,Modx Revolution,*,2016
CVE-2016-10034,1,Application,Zend,Zend Framework,*,2016
CVE-2016-10034,2,Application,Zend,Zend-mail,*,2016
CVE-2016-10034,3,Application,Zend,Zend-mail,2.5.0,2016
CVE-2016-10034,4,Application,Zend,Zend-mail,2.5.1,2016
CVE-2016-10034,5,Application,Zend,Zend-mail,2.5.2,2016
CVE-2016-10034,6,Application,Zend,Zend-mail,2.6.0,2016
CVE-2016-10034,7,Application,Zend,Zend-mail,2.6.1,2016
CVE-2016-10034,8,Application,Zend,Zend-mail,2.6.2,2016
CVE-2016-10034,9,Application,Zend,Zend-mail,2.7.0,2016
CVE-2016-10034,10,Application,Zend,Zend-mail,2.7.1,2016
CVE-2016-10033,1,Application,Joomla,Joomla\!,*,2016
CVE-2016-10033,2,Application,Phpmailer Project,Phpmailer,*,2016
CVE-2016-10033,3,Application,Wordpress,Wordpress,*,2016
CVE-2016-10031,1,Application,Wampserver,Wampserver,3.0.6,2016
CVE-2016-10006,1,Application,Antisamy Project,Antisamy,*,2016
CVE-2016-10005,1,Application,SAP,Solution Manager,7.1,2016
CVE-2016-10005,2,Application,SAP,Solution Manager,7.1,2016
CVE-2016-10005,3,Application,SAP,Solution Manager,7.1,2016
CVE-2016-10005,4,Application,SAP,Solution Manager,7.1,2016
CVE-2016-10005,5,Application,SAP,Solution Manager,7.1,2016
CVE-2016-10005,6,Application,SAP,Solution Manager,7.20,2016
CVE-2016-10005,7,Application,SAP,Solution Manager,7.20,2016
CVE-2016-10005,8,Application,SAP,Solution Manager,7.20,2016
CVE-2016-10005,9,Application,SAP,Solution Manager,7.31,2016
CVE-2016-9998,1,Application,Spip,Spip,3.1.0,2016
CVE-2016-9998,2,Application,Spip,Spip,3.1.0,2016
CVE-2016-9998,3,Application,Spip,Spip,3.1.0,2016
CVE-2016-9998,4,Application,Spip,Spip,3.1.0,2016
CVE-2016-9998,5,Application,Spip,Spip,3.1.0,2016
CVE-2016-9998,6,Application,Spip,Spip,3.1.0,2016
CVE-2016-9998,7,Application,Spip,Spip,3.1.1,2016
CVE-2016-9998,8,Application,Spip,Spip,3.1.2,2016
CVE-2016-9998,9,Application,Spip,Spip,3.1.3,2016
CVE-2016-9997,1,Application,Spip,Spip,3.1.0,2016
CVE-2016-9997,2,Application,Spip,Spip,3.1.0,2016
CVE-2016-9997,3,Application,Spip,Spip,3.1.0,2016
CVE-2016-9997,4,Application,Spip,Spip,3.1.0,2016
CVE-2016-9997,5,Application,Spip,Spip,3.1.0,2016
CVE-2016-9997,6,Application,Spip,Spip,3.1.0,2016
CVE-2016-9997,7,Application,Spip,Spip,3.1.1,2016
CVE-2016-9997,8,Application,Spip,Spip,3.1.2,2016
CVE-2016-9997,9,Application,Spip,Spip,3.1.3,2016
CVE-2016-9967,1,OS,Samsung,Samsung Mobile,5.0,2016
CVE-2016-9967,2,OS,Samsung,Samsung Mobile,5.1,2016
CVE-2016-9967,3,OS,Samsung,Samsung Mobile,6.0,2016
CVE-2016-9967,4,OS,Samsung,Samsung Mobile,7.0,2016
CVE-2016-9966,1,OS,Samsung,Samsung Mobile,5.0,2016
CVE-2016-9966,2,OS,Samsung,Samsung Mobile,5.1,2016
CVE-2016-9966,3,OS,Samsung,Samsung Mobile,6.0,2016
CVE-2016-9966,4,OS,Samsung,Samsung Mobile,7.0,2016
CVE-2016-9965,1,OS,Samsung,Samsung Mobile,5.0,2016
CVE-2016-9965,2,OS,Samsung,Samsung Mobile,5.1,2016
CVE-2016-9965,3,OS,Samsung,Samsung Mobile,6.0,2016
CVE-2016-9965,4,OS,Samsung,Samsung Mobile,7.0,2016
CVE-2016-9964,1,Application,Bottlepy,Bottle,0.12.10,2016
CVE-2016-9964,2,OS,Debian,Debian Linux,8.0,2016
CVE-2016-9951,1,Application,Apport Project,Apport,*,2016
CVE-2016-9950,1,Application,Apport Project,Apport,*,2016
CVE-2016-9950,2,OS,Canonical,Ubuntu Linux,*,2016
CVE-2016-9949,1,Application,Apport Project,Apport,*,2016
CVE-2016-9949,2,OS,Canonical,Ubuntu Linux,*,2016
CVE-2016-9942,1,Application,Libvncserver Project,Libvncserver,0.9.10,2016
CVE-2016-9941,1,Application,Libvncserver Project,Libvncserver,*,2016
CVE-2016-9938,1,Application,Digium,Asterisk,11.0.0,2016
CVE-2016-9938,2,Application,Digium,Asterisk,11.0.0,2016
CVE-2016-9938,3,Application,Digium,Asterisk,11.0.0,2016
CVE-2016-9938,4,Application,Digium,Asterisk,11.0.0,2016
CVE-2016-9938,5,Application,Digium,Asterisk,11.0.0,2016
CVE-2016-9938,6,Application,Digium,Asterisk,11.0.1,2016
CVE-2016-9938,7,Application,Digium,Asterisk,11.0.2,2016
CVE-2016-9938,8,Application,Digium,Asterisk,11.1.0,2016
CVE-2016-9938,9,Application,Digium,Asterisk,11.1.0,2016
CVE-2016-9938,10,Application,Digium,Asterisk,11.1.0,2016
CVE-2016-9938,11,Application,Digium,Asterisk,11.1.1,2016
CVE-2016-9938,12,Application,Digium,Asterisk,11.1.2,2016
CVE-2016-9938,13,Application,Digium,Asterisk,11.2.0,2016
CVE-2016-9938,14,Application,Digium,Asterisk,11.2.0,2016
CVE-2016-9938,15,Application,Digium,Asterisk,11.2.0,2016
CVE-2016-9938,16,Application,Digium,Asterisk,11.2.1,2016
CVE-2016-9938,17,Application,Digium,Asterisk,11.2.2,2016
CVE-2016-9938,18,Application,Digium,Asterisk,11.3.0,2016
CVE-2016-9938,19,Application,Digium,Asterisk,11.4.0,2016
CVE-2016-9938,20,Application,Digium,Asterisk,11.5.0,2016
CVE-2016-9938,21,Application,Digium,Asterisk,11.5.1,2016
CVE-2016-9938,22,Application,Digium,Asterisk,11.6.0,2016
CVE-2016-9938,23,Application,Digium,Asterisk,11.6.1,2016
CVE-2016-9938,24,Application,Digium,Asterisk,11.7.0,2016
CVE-2016-9938,25,Application,Digium,Asterisk,11.8.0,2016
CVE-2016-9938,26,Application,Digium,Asterisk,11.8.1,2016
CVE-2016-9938,27,Application,Digium,Asterisk,11.9.0,2016
CVE-2016-9938,28,Application,Digium,Asterisk,11.10.0,2016
CVE-2016-9938,29,Application,Digium,Asterisk,11.10.1,2016
CVE-2016-9938,30,Application,Digium,Asterisk,11.10.2,2016
CVE-2016-9938,31,Application,Digium,Asterisk,11.11.0,2016
CVE-2016-9938,32,Application,Digium,Asterisk,11.12.0,2016
CVE-2016-9938,33,Application,Digium,Asterisk,11.12.1,2016
CVE-2016-9938,34,Application,Digium,Asterisk,11.13.0,2016
CVE-2016-9938,35,Application,Digium,Asterisk,11.13.1,2016
CVE-2016-9938,36,Application,Digium,Asterisk,11.14.0,2016
CVE-2016-9938,37,Application,Digium,Asterisk,11.14.1,2016
CVE-2016-9938,38,Application,Digium,Asterisk,11.14.2,2016
CVE-2016-9938,39,Application,Digium,Asterisk,11.15.0,2016
CVE-2016-9938,40,Application,Digium,Asterisk,11.15.1,2016
CVE-2016-9938,41,Application,Digium,Asterisk,11.16.0,2016
CVE-2016-9938,42,Application,Digium,Asterisk,11.17.0,2016
CVE-2016-9938,43,Application,Digium,Asterisk,11.17.1,2016
CVE-2016-9938,44,Application,Digium,Asterisk,11.18.0,2016
CVE-2016-9938,45,Application,Digium,Asterisk,11.19.0,2016
CVE-2016-9938,46,Application,Digium,Asterisk,11.20.0,2016
CVE-2016-9938,47,Application,Digium,Asterisk,11.21.0,2016
CVE-2016-9938,48,Application,Digium,Asterisk,11.21.1,2016
CVE-2016-9938,49,Application,Digium,Asterisk,11.21.2,2016
CVE-2016-9938,50,Application,Digium,Asterisk,11.22.0,2016
CVE-2016-9938,51,Application,Digium,Asterisk,11.22.0,2016
CVE-2016-9938,52,Application,Digium,Asterisk,11.23.0,2016
CVE-2016-9938,53,Application,Digium,Asterisk,11.23.0,2016
CVE-2016-9938,54,Application,Digium,Asterisk,11.23.1,2016
CVE-2016-9938,55,Application,Digium,Asterisk,11.24.0,2016
CVE-2016-9938,56,Application,Digium,Asterisk,11.24.1,2016
CVE-2016-9938,57,Application,Digium,Asterisk,11.25.0,2016
CVE-2016-9938,58,Application,Digium,Asterisk,13.0.0,2016
CVE-2016-9938,59,Application,Digium,Asterisk,13.0.0,2016
CVE-2016-9938,60,Application,Digium,Asterisk,13.0.0,2016
CVE-2016-9938,61,Application,Digium,Asterisk,13.0.0,2016
CVE-2016-9938,62,Application,Digium,Asterisk,13.0.1,2016
CVE-2016-9938,63,Application,Digium,Asterisk,13.0.2,2016
CVE-2016-9938,64,Application,Digium,Asterisk,13.1.0,2016
CVE-2016-9938,65,Application,Digium,Asterisk,13.1.1,2016
CVE-2016-9938,66,Application,Digium,Asterisk,13.2.0,2016
CVE-2016-9938,67,Application,Digium,Asterisk,13.2.1,2016
CVE-2016-9938,68,Application,Digium,Asterisk,13.3.0,2016
CVE-2016-9938,69,Application,Digium,Asterisk,13.3.1,2016
CVE-2016-9938,70,Application,Digium,Asterisk,13.3.2,2016
CVE-2016-9938,71,Application,Digium,Asterisk,13.4.0,2016
CVE-2016-9938,72,Application,Digium,Asterisk,13.5.0,2016
CVE-2016-9938,73,Application,Digium,Asterisk,13.6.0,2016
CVE-2016-9938,74,Application,Digium,Asterisk,13.7.0,2016
CVE-2016-9938,75,Application,Digium,Asterisk,13.7.1,2016
CVE-2016-9938,76,Application,Digium,Asterisk,13.7.2,2016
CVE-2016-9938,77,Application,Digium,Asterisk,13.8.0,2016
CVE-2016-9938,78,Application,Digium,Asterisk,13.8.0,2016
CVE-2016-9938,79,Application,Digium,Asterisk,13.8.1,2016
CVE-2016-9938,80,Application,Digium,Asterisk,13.8.2,2016
CVE-2016-9938,81,Application,Digium,Asterisk,13.9.0,2016
CVE-2016-9938,82,Application,Digium,Asterisk,13.9.1,2016
CVE-2016-9938,83,Application,Digium,Asterisk,13.10.0,2016
CVE-2016-9938,84,Application,Digium,Asterisk,13.10.0,2016
CVE-2016-9938,85,Application,Digium,Asterisk,13.11.0,2016
CVE-2016-9938,86,Application,Digium,Asterisk,13.11.1,2016
CVE-2016-9938,87,Application,Digium,Asterisk,13.11.2,2016
CVE-2016-9938,88,Application,Digium,Asterisk,13.12.0,2016
CVE-2016-9938,89,Application,Digium,Asterisk,13.12.1,2016
CVE-2016-9938,90,Application,Digium,Asterisk,13.12.2,2016
CVE-2016-9938,91,Application,Digium,Asterisk,13.13.0,2016
CVE-2016-9938,92,Application,Digium,Asterisk,14.0.0,2016
CVE-2016-9938,93,Application,Digium,Asterisk,14.0.0,2016
CVE-2016-9938,94,Application,Digium,Asterisk,14.0.0,2016
CVE-2016-9938,95,Application,Digium,Asterisk,14.0.0,2016
CVE-2016-9938,96,Application,Digium,Asterisk,14.0.0,2016
CVE-2016-9938,97,Application,Digium,Asterisk,14.0.1,2016
CVE-2016-9938,98,Application,Digium,Asterisk,14.0.2,2016
CVE-2016-9938,99,Application,Digium,Asterisk,14.1.0,2016
CVE-2016-9938,100,Application,Digium,Asterisk,14.1.1,2016
CVE-2016-9938,101,Application,Digium,Asterisk,14.1.2,2016
CVE-2016-9938,102,Application,Digium,Asterisk,14.2.0,2016
CVE-2016-9938,103,Application,Digium,Certified Asterisk,11.0.0,2016
CVE-2016-9938,104,Application,Digium,Certified Asterisk,11.0.0,2016
CVE-2016-9938,105,Application,Digium,Certified Asterisk,11.0.0,2016
CVE-2016-9938,106,Application,Digium,Certified Asterisk,11.1.0,2016
CVE-2016-9938,107,Application,Digium,Certified Asterisk,11.1.0,2016
CVE-2016-9938,108,Application,Digium,Certified Asterisk,11.1.0,2016
CVE-2016-9938,109,Application,Digium,Certified Asterisk,11.1.0,2016
CVE-2016-9938,110,Application,Digium,Certified Asterisk,11.2.0,2016
CVE-2016-9938,111,Application,Digium,Certified Asterisk,11.2.0,2016
CVE-2016-9938,112,Application,Digium,Certified Asterisk,11.2.0,2016
CVE-2016-9938,113,Application,Digium,Certified Asterisk,11.3.0,2016
CVE-2016-9938,114,Application,Digium,Certified Asterisk,11.3.0,2016
CVE-2016-9938,115,Application,Digium,Certified Asterisk,11.3.0,2016
CVE-2016-9938,116,Application,Digium,Certified Asterisk,11.4.0,2016
CVE-2016-9938,117,Application,Digium,Certified Asterisk,11.4.0,2016
CVE-2016-9938,118,Application,Digium,Certified Asterisk,11.4.0,2016
CVE-2016-9938,119,Application,Digium,Certified Asterisk,11.4.0,2016
CVE-2016-9938,120,Application,Digium,Certified Asterisk,11.5.0,2016
CVE-2016-9938,121,Application,Digium,Certified Asterisk,11.5.0,2016
CVE-2016-9938,122,Application,Digium,Certified Asterisk,11.5.0,2016
CVE-2016-9938,123,Application,Digium,Certified Asterisk,11.6,2016
CVE-2016-9938,124,Application,Digium,Certified Asterisk,11.6,2016
CVE-2016-9938,125,Application,Digium,Certified Asterisk,11.6,2016
CVE-2016-9938,126,Application,Digium,Certified Asterisk,11.6,2016
CVE-2016-9938,127,Application,Digium,Certified Asterisk,11.6,2016
CVE-2016-9938,128,Application,Digium,Certified Asterisk,11.6,2016
CVE-2016-9938,129,Application,Digium,Certified Asterisk,11.6,2016
CVE-2016-9938,130,Application,Digium,Certified Asterisk,11.6,2016
CVE-2016-9938,131,Application,Digium,Certified Asterisk,11.6,2016
CVE-2016-9938,132,Application,Digium,Certified Asterisk,11.6,2016
CVE-2016-9938,133,Application,Digium,Certified Asterisk,11.6,2016
CVE-2016-9938,134,Application,Digium,Certified Asterisk,11.6,2016
CVE-2016-9938,135,Application,Digium,Certified Asterisk,11.6,2016
CVE-2016-9938,136,Application,Digium,Certified Asterisk,11.6,2016
CVE-2016-9938,137,Application,Digium,Certified Asterisk,11.6,2016
CVE-2016-9938,138,Application,Digium,Certified Asterisk,11.6,2016
CVE-2016-9938,139,Application,Digium,Certified Asterisk,11.6,2016
CVE-2016-9938,140,Application,Digium,Certified Asterisk,11.6,2016
CVE-2016-9938,141,Application,Digium,Certified Asterisk,11.6,2016
CVE-2016-9938,142,Application,Digium,Certified Asterisk,11.6,2016
CVE-2016-9938,143,Application,Digium,Certified Asterisk,11.6.0,2016
CVE-2016-9938,144,Application,Digium,Certified Asterisk,11.6.0,2016
CVE-2016-9938,145,Application,Digium,Certified Asterisk,11.6.0,2016
CVE-2016-9938,146,Application,Digium,Certified Asterisk,11.6.0,2016
CVE-2016-9937,1,Application,Digium,Asterisk,13.12,2016
CVE-2016-9937,2,Application,Digium,Asterisk,13.13,2016
CVE-2016-9937,3,Application,Digium,Asterisk,14.0,2016
CVE-2016-9937,4,Application,Digium,Asterisk,14.01,2016
CVE-2016-9937,5,Application,Digium,Asterisk,14.1,2016
CVE-2016-9937,6,Application,Digium,Asterisk,14.1.1,2016
CVE-2016-9937,7,Application,Digium,Asterisk,14.1.2,2016
CVE-2016-9937,8,Application,Digium,Asterisk,14.02,2016
CVE-2016-9937,9,Application,Digium,Asterisk,14.2,2016
CVE-2016-9920,1,Application,Roundcube,Webmail,*,2016
CVE-2016-9920,2,Application,Roundcube,Webmail,1.2.0,2016
CVE-2016-9920,3,Application,Roundcube,Webmail,1.2.1,2016
CVE-2016-9920,4,Application,Roundcube,Webmail,1.2.2,2016
CVE-2016-9919,1,OS,Linux,Linux Kernel,*,2016
CVE-2016-9918,1,Application,Bluez Project,Bluez,5.42,2016
CVE-2016-9917,1,Application,Bluez,Bluez,5.42,2016
CVE-2016-9916,1,OS,Debian,Debian Linux,8.0,2016
CVE-2016-9916,2,Application,Qemu,Qemu,*,2016
CVE-2016-9916,3,Application,Qemu,Qemu,2.8.0,2016
CVE-2016-9916,4,Application,Qemu,Qemu,2.8.0,2016
CVE-2016-9915,1,OS,Debian,Debian Linux,8.0,2016
CVE-2016-9915,2,Application,Qemu,Qemu,*,2016
CVE-2016-9915,3,Application,Qemu,Qemu,2.8.0,2016
CVE-2016-9915,4,Application,Qemu,Qemu,2.8.0,2016
CVE-2016-9914,1,OS,Debian,Debian Linux,8.0,2016
CVE-2016-9914,2,Application,Qemu,Qemu,*,2016
CVE-2016-9914,3,Application,Qemu,Qemu,2.8.0,2016
CVE-2016-9914,4,Application,Qemu,Qemu,2.8.0,2016
CVE-2016-9913,1,Application,Qemu,Qemu,*,2016
CVE-2016-9913,2,Application,Qemu,Qemu,2.8.0,2016
CVE-2016-9913,3,Application,Qemu,Qemu,2.8.0,2016
CVE-2016-9912,1,Application,Qemu,Qemu,*,2016
CVE-2016-9911,1,OS,Debian,Debian Linux,8.0,2016
CVE-2016-9911,2,Application,Qemu,Qemu,*,2016
CVE-2016-9911,3,Application,Redhat,Openstack,6.0,2016
CVE-2016-9911,4,Application,Redhat,Openstack,7.0,2016
CVE-2016-9911,5,Application,Redhat,Openstack,8,2016
CVE-2016-9911,6,Application,Redhat,Openstack,9,2016
CVE-2016-9911,7,Application,Redhat,Openstack,10,2016
CVE-2016-9911,8,Application,Redhat,Openstack,11,2016
CVE-2016-9907,1,OS,Debian,Debian Linux,8.0,2016
CVE-2016-9907,2,Application,Qemu,Qemu,*,2016
CVE-2016-9907,3,Application,Redhat,Openstack,6.0,2016
CVE-2016-9907,4,Application,Redhat,Openstack,7.0,2016
CVE-2016-9907,5,Application,Redhat,Openstack,8,2016
CVE-2016-9907,6,Application,Redhat,Openstack,9,2016
CVE-2016-9907,7,Application,Redhat,Openstack,10,2016
CVE-2016-9907,8,Application,Redhat,Openstack,11,2016
CVE-2016-9889,1,Application,Tiki,Tikiwiki Cms\/groupware,12.0,2016
CVE-2016-9889,2,Application,Tiki,Tikiwiki Cms\/groupware,12.1,2016
CVE-2016-9889,3,Application,Tiki,Tikiwiki Cms\/groupware,12.2,2016
CVE-2016-9889,4,Application,Tiki,Tikiwiki Cms\/groupware,12.3,2016
CVE-2016-9889,5,Application,Tiki,Tikiwiki Cms\/groupware,12.4,2016
CVE-2016-9889,6,Application,Tiki,Tikiwiki Cms\/groupware,12.5,2016
CVE-2016-9889,7,Application,Tiki,Tikiwiki Cms\/groupware,12.6,2016
CVE-2016-9889,8,Application,Tiki,Tikiwiki Cms\/groupware,12.7,2016
CVE-2016-9889,9,Application,Tiki,Tikiwiki Cms\/groupware,12.8,2016
CVE-2016-9889,10,Application,Tiki,Tikiwiki Cms\/groupware,12.9,2016
CVE-2016-9889,11,Application,Tiki,Tikiwiki Cms\/groupware,15.0,2016
CVE-2016-9889,12,Application,Tiki,Tikiwiki Cms\/groupware,15.1,2016
CVE-2016-9889,13,Application,Tiki,Tikiwiki Cms\/groupware,15.2,2016
CVE-2016-9889,14,Application,Tiki,Tikiwiki Cms\/groupware,16.0,2016
CVE-2016-9888,1,Application,Gnome,Libgsf,*,2016
CVE-2016-9878,1,Application,Pivotal Software,Spring Framework,*,2016
CVE-2016-9878,2,Application,Pivotal Software,Spring Framework,4.2.0,2016
CVE-2016-9878,3,Application,Pivotal Software,Spring Framework,4.3.0,2016
CVE-2016-9878,4,Application,Vmware,Spring Framework,3.2.1,2016
CVE-2016-9878,5,Application,Vmware,Spring Framework,3.2.2,2016
CVE-2016-9878,6,Application,Vmware,Spring Framework,3.2.3,2016
CVE-2016-9878,7,Application,Vmware,Spring Framework,3.2.4,2016
CVE-2016-9878,8,Application,Vmware,Spring Framework,3.2.5,2016
CVE-2016-9878,9,Application,Vmware,Spring Framework,3.2.6,2016
CVE-2016-9878,10,Application,Vmware,Spring Framework,3.2.7,2016
CVE-2016-9878,11,Application,Vmware,Spring Framework,3.2.8,2016
CVE-2016-9878,12,Application,Vmware,Spring Framework,3.2.9,2016
CVE-2016-9878,13,Application,Vmware,Spring Framework,3.2.10,2016
CVE-2016-9878,14,Application,Vmware,Spring Framework,3.2.11,2016
CVE-2016-9878,15,Application,Vmware,Spring Framework,3.2.12,2016
CVE-2016-9878,16,Application,Vmware,Spring Framework,3.2.13,2016
CVE-2016-9878,17,Application,Vmware,Spring Framework,3.2.14,2016
CVE-2016-9878,18,Application,Vmware,Spring Framework,3.2.15,2016
CVE-2016-9878,19,Application,Vmware,Spring Framework,3.2.16,2016
CVE-2016-9878,20,Application,Vmware,Spring Framework,3.2.17,2016
CVE-2016-9878,21,Application,Vmware,Spring Framework,4.2.1,2016
CVE-2016-9878,22,Application,Vmware,Spring Framework,4.2.2,2016
CVE-2016-9878,23,Application,Vmware,Spring Framework,4.2.3,2016
CVE-2016-9878,24,Application,Vmware,Spring Framework,4.2.4,2016
CVE-2016-9878,25,Application,Vmware,Spring Framework,4.2.5,2016
CVE-2016-9878,26,Application,Vmware,Spring Framework,4.2.6,2016
CVE-2016-9878,27,Application,Vmware,Spring Framework,4.2.7,2016
CVE-2016-9878,28,Application,Vmware,Spring Framework,4.2.8,2016
CVE-2016-9878,29,Application,Vmware,Spring Framework,4.3.1,2016
CVE-2016-9878,30,Application,Vmware,Spring Framework,4.3.2,2016
CVE-2016-9878,31,Application,Vmware,Spring Framework,4.3.3,2016
CVE-2016-9878,32,Application,Vmware,Spring Framework,4.3.4,2016
CVE-2016-9877,1,Application,Pivotal Software,Rabbitmq,1.5.0,2016
CVE-2016-9877,2,Application,Pivotal Software,Rabbitmq,1.5.1,2016
CVE-2016-9877,3,Application,Pivotal Software,Rabbitmq,1.5.2,2016
CVE-2016-9877,4,Application,Pivotal Software,Rabbitmq,1.5.3,2016
CVE-2016-9877,5,Application,Pivotal Software,Rabbitmq,1.5.4,2016
CVE-2016-9877,6,Application,Pivotal Software,Rabbitmq,1.5.5,2016
CVE-2016-9877,7,Application,Pivotal Software,Rabbitmq,1.5.6,2016
CVE-2016-9877,8,Application,Pivotal Software,Rabbitmq,1.5.7,2016
CVE-2016-9877,9,Application,Pivotal Software,Rabbitmq,1.5.8,2016
CVE-2016-9877,10,Application,Pivotal Software,Rabbitmq,1.5.9,2016
CVE-2016-9877,11,Application,Pivotal Software,Rabbitmq,1.5.10,2016
CVE-2016-9877,12,Application,Pivotal Software,Rabbitmq,1.5.11,2016
CVE-2016-9877,13,Application,Pivotal Software,Rabbitmq,1.5.12,2016
CVE-2016-9877,14,Application,Pivotal Software,Rabbitmq,1.5.13,2016
CVE-2016-9877,15,Application,Pivotal Software,Rabbitmq,1.5.14,2016
CVE-2016-9877,16,Application,Pivotal Software,Rabbitmq,1.5.15,2016
CVE-2016-9877,17,Application,Pivotal Software,Rabbitmq,1.5.17,2016
