CVE ID,Link to CVE,CVSS_Score,Confidentiality Impact,Integrity Impact,Availability Impact,Access Complexity,Authentication,Gained Access,Vulnerability Type(s),Year
CVE-2019-1010283,https://www.cvedetails.com/cve/CVE-2019-1010283/,5.0,Partial,None,None,Low,Not required,None,Obtain Information,2019
CVE-2019-1010279,https://www.cvedetails.com/cve/CVE-2019-1010279/,5.0,None,None,Partial,Low,Not required,None,Denial Of Service,2019
CVE-2019-1010279,https://www.cvedetails.com/cve/CVE-2019-1010279/,5.0,None,None,Partial,Low,Not required,None,Bypass a restriction or similar,2019
CVE-2019-1010263,https://www.cvedetails.com/cve/CVE-2019-1010263/,7.5,Partial,Partial,Partial,Low,Not required,None,Bypass a restriction or similar,2019
CVE-2019-1010262,https://www.cvedetails.com/cve/CVE-2019-1010262/,5.0,None,None,Partial,Low,Not required,None,Denial Of Service,2019
CVE-2019-1010261,https://www.cvedetails.com/cve/CVE-2019-1010261/,4.3,None,Partial,None,Medium,Not required,None,Cross Site Scripting,2019
CVE-2019-1010260,https://www.cvedetails.com/cve/CVE-2019-1010260/,9.3,Complete,Complete,Complete,Medium,Not required,None,Execute Code,2019
CVE-2019-1010259,https://www.cvedetails.com/cve/CVE-2019-1010259/,7.5,Partial,Partial,Partial,Low,Not required,None,Sql Injection,2019
CVE-2019-1010258,https://www.cvedetails.com/cve/CVE-2019-1010258/,4.3,None,None,Partial,Medium,Not required,None,Overflow,2019
CVE-2019-1010258,https://www.cvedetails.com/cve/CVE-2019-1010258/,4.3,None,None,Partial,Medium,Not required,None,Memory corruption,2019
CVE-2019-1010257,https://www.cvedetails.com/cve/CVE-2019-1010257/,7.5,Partial,Partial,Partial,Low,Not required,None,Directory traversal,2019
CVE-2019-1010251,https://www.cvedetails.com/cve/CVE-2019-1010251/,5.0,None,None,Partial,Low,Not required,None,Denial Of Service,2019
CVE-2019-1010251,https://www.cvedetails.com/cve/CVE-2019-1010251/,5.0,None,None,Partial,Low,Not required,None,Bypass a restriction or similar,2019
CVE-2019-1010248,https://www.cvedetails.com/cve/CVE-2019-1010248/,7.5,Partial,Partial,Partial,Low,Not required,None,Sql Injection,2019
CVE-2019-1010247,https://www.cvedetails.com/cve/CVE-2019-1010247/,4.3,None,Partial,None,Medium,Not required,None,Cross Site Scripting,2019
CVE-2019-1010245,https://www.cvedetails.com/cve/CVE-2019-1010245/,7.5,Partial,Partial,Partial,Low,Not required,None,Execute Code,2019
CVE-2019-1010239,https://www.cvedetails.com/cve/CVE-2019-1010239/,5.0,None,None,Partial,Low,Not required,None,Denial Of Service,2019
CVE-2019-1010238,https://www.cvedetails.com/cve/CVE-2019-1010238/,7.5,Partial,Partial,Partial,Low,Not required,None,Execute Code,2019
CVE-2019-1010238,https://www.cvedetails.com/cve/CVE-2019-1010238/,7.5,Partial,Partial,Partial,Low,Not required,None,Overflow,2019
CVE-2019-1010237,https://www.cvedetails.com/cve/CVE-2019-1010237/,4.3,None,Partial,None,Medium,Not required,None,Execute Code,2019
CVE-2019-1010237,https://www.cvedetails.com/cve/CVE-2019-1010237/,4.3,None,Partial,None,Medium,Not required,None,Cross Site Scripting,2019
CVE-2019-1010234,https://www.cvedetails.com/cve/CVE-2019-1010234/,7.5,Partial,Partial,Partial,Low,Not required,None,Execute Code,2019
CVE-2019-1010232,https://www.cvedetails.com/cve/CVE-2019-1010232/,4.3,None,None,Partial,Medium,Not required,None,Overflow,2019
CVE-2019-1010228,https://www.cvedetails.com/cve/CVE-2019-1010228/,7.5,Partial,Partial,Partial,Low,Not required,None,Denial Of Service,2019
CVE-2019-1010228,https://www.cvedetails.com/cve/CVE-2019-1010228/,7.5,Partial,Partial,Partial,Low,Not required,None,Execute Code,2019
CVE-2019-1010228,https://www.cvedetails.com/cve/CVE-2019-1010228/,7.5,Partial,Partial,Partial,Low,Not required,None,Overflow,2019
CVE-2019-1010223,https://www.cvedetails.com/cve/CVE-2019-1010223/,7.5,Partial,Partial,Partial,Low,Not required,None,Overflow,2019
CVE-2019-1010218,https://www.cvedetails.com/cve/CVE-2019-1010218/,5.0,None,None,Partial,Low,Not required,None,Overflow,2019
CVE-2019-1010207,https://www.cvedetails.com/cve/CVE-2019-1010207/,4.3,None,Partial,None,Medium,Not required,None,Cross Site Scripting,2019
CVE-2019-1010205,https://www.cvedetails.com/cve/CVE-2019-1010205/,5.0,Partial,None,None,Low,Not required,None,Directory traversal,2019
CVE-2019-1010204,https://www.cvedetails.com/cve/CVE-2019-1010204/,4.3,None,None,Partial,Medium,Not required,None,Denial Of Service,2019
CVE-2019-1010200,https://www.cvedetails.com/cve/CVE-2019-1010200/,10.0,Complete,Complete,Complete,Low,Not required,None,Execute Code,2019
CVE-2019-1010199,https://www.cvedetails.com/cve/CVE-2019-1010199/,4.3,None,Partial,None,Medium,Not required,None,Cross Site Scripting,2019
CVE-2019-1010199,https://www.cvedetails.com/cve/CVE-2019-1010199/,4.3,None,Partial,None,Medium,Not required,None,Bypass a restriction or similar,2019
CVE-2019-1010193,https://www.cvedetails.com/cve/CVE-2019-1010193/,4.3,None,Partial,None,Medium,Not required,None,Cross Site Scripting,2019
CVE-2019-1010191,https://www.cvedetails.com/cve/CVE-2019-1010191/,7.5,Partial,Partial,Partial,Low,Not required,None,Sql Injection,2019
CVE-2019-1010183,https://www.cvedetails.com/cve/CVE-2019-1010183/,4.3,None,None,Partial,Medium,Not required,None,Denial Of Service,2019
CVE-2019-1010182,https://www.cvedetails.com/cve/CVE-2019-1010182/,4.3,None,None,Partial,Medium,Not required,None,Denial Of Service,2019
CVE-2019-1010180,https://www.cvedetails.com/cve/CVE-2019-1010180/,6.8,Partial,Partial,Partial,Medium,Not required,None,Execute Code,2019
CVE-2019-1010180,https://www.cvedetails.com/cve/CVE-2019-1010180/,6.8,Partial,Partial,Partial,Medium,Not required,None,Overflow,2019
CVE-2019-1010179,https://www.cvedetails.com/cve/CVE-2019-1010179/,7.5,Partial,Partial,Partial,Low,Not required,None,Execute Code,2019
CVE-2019-1010178,https://www.cvedetails.com/cve/CVE-2019-1010178/,7.5,Partial,Partial,Partial,Low,Not required,None,Execute Code,2019
CVE-2019-1010177,https://www.cvedetails.com/cve/CVE-2019-1010177/,7.5,Partial,Partial,Partial,Low,Not required,None,Denial Of Service,2019
CVE-2019-1010177,https://www.cvedetails.com/cve/CVE-2019-1010177/,7.5,Partial,Partial,Partial,Low,Not required,None,Execute Code,2019
CVE-2019-1010176,https://www.cvedetails.com/cve/CVE-2019-1010176/,7.5,Partial,Partial,Partial,Low,Not required,None,Denial Of Service,2019
CVE-2019-1010176,https://www.cvedetails.com/cve/CVE-2019-1010176/,7.5,Partial,Partial,Partial,Low,Not required,None,Execute Code,2019
CVE-2019-1010176,https://www.cvedetails.com/cve/CVE-2019-1010176/,7.5,Partial,Partial,Partial,Low,Not required,None,Overflow,2019
CVE-2019-1010173,https://www.cvedetails.com/cve/CVE-2019-1010173/,5.0,None,None,Partial,Low,Not required,None,Denial Of Service,2019
CVE-2019-1010172,https://www.cvedetails.com/cve/CVE-2019-1010172/,5.0,None,None,Partial,Low,Not required,None,Denial Of Service,2019
CVE-2019-1010171,https://www.cvedetails.com/cve/CVE-2019-1010171/,5.0,None,None,Partial,Low,Not required,None,Denial Of Service,2019
CVE-2019-1010170,https://www.cvedetails.com/cve/CVE-2019-1010170/,5.0,None,None,Partial,Low,Not required,None,Denial Of Service,2019
CVE-2019-1010169,https://www.cvedetails.com/cve/CVE-2019-1010169/,5.0,None,None,Partial,Low,Not required,None,Denial Of Service,2019
CVE-2019-1010163,https://www.cvedetails.com/cve/CVE-2019-1010163/,7.2,Complete,Complete,Complete,Low,Not required,None,Denial Of Service,2019
CVE-2019-1010163,https://www.cvedetails.com/cve/CVE-2019-1010163/,7.2,Complete,Complete,Complete,Low,Not required,None,Execute Code,2019
CVE-2019-1010163,https://www.cvedetails.com/cve/CVE-2019-1010163/,7.2,Complete,Complete,Complete,Low,Not required,None,Overflow,2019
CVE-2019-1010162,https://www.cvedetails.com/cve/CVE-2019-1010162/,4.3,None,None,Partial,Medium,Not required,None,Denial Of Service,2019
CVE-2019-1010162,https://www.cvedetails.com/cve/CVE-2019-1010162/,4.3,None,None,Partial,Medium,Not required,None,Execute Code,2019
CVE-2019-1010161,https://www.cvedetails.com/cve/CVE-2019-1010161/,7.5,Partial,Partial,Partial,Low,Not required,None,Bypass a restriction or similar,2019
CVE-2019-1010156,https://www.cvedetails.com/cve/CVE-2019-1010156/,6.4,Partial,None,Partial,Low,Not required,None,Denial Of Service,2019
CVE-2019-1010156,https://www.cvedetails.com/cve/CVE-2019-1010156/,6.4,Partial,None,Partial,Low,Not required,None,Bypass a restriction or similar,2019
CVE-2019-1010156,https://www.cvedetails.com/cve/CVE-2019-1010156/,6.4,Partial,None,Partial,Low,Not required,None,Obtain Information,2019
CVE-2019-1010155,https://www.cvedetails.com/cve/CVE-2019-1010155/,6.4,Partial,None,Partial,Low,Not required,None,Denial Of Service,2019
CVE-2019-1010155,https://www.cvedetails.com/cve/CVE-2019-1010155/,6.4,Partial,None,Partial,Low,Not required,None,Bypass a restriction or similar,2019
CVE-2019-1010155,https://www.cvedetails.com/cve/CVE-2019-1010155/,6.4,Partial,None,Partial,Low,Not required,None,Obtain Information,2019
CVE-2019-1010153,https://www.cvedetails.com/cve/CVE-2019-1010153/,7.5,Partial,Partial,Partial,Low,Not required,None,Sql Injection,2019
CVE-2019-1010152,https://www.cvedetails.com/cve/CVE-2019-1010152/,7.5,Partial,Partial,Partial,Low,Not required,None,Execute Code,2019
CVE-2019-1010151,https://www.cvedetails.com/cve/CVE-2019-1010151/,7.5,Partial,Partial,Partial,Low,Not required,None,Directory traversal,2019
CVE-2019-1010150,https://www.cvedetails.com/cve/CVE-2019-1010150/,7.5,Partial,Partial,Partial,Low,Not required,None,Execute Code,2019
CVE-2019-1010149,https://www.cvedetails.com/cve/CVE-2019-1010149/,7.5,Partial,Partial,Partial,Low,Not required,None,Execute Code,2019
CVE-2019-1010148,https://www.cvedetails.com/cve/CVE-2019-1010148/,7.5,Partial,Partial,Partial,Low,Not required,None,Execute Code,2019
CVE-2019-1010148,https://www.cvedetails.com/cve/CVE-2019-1010148/,7.5,Partial,Partial,Partial,Low,Not required,None,Sql Injection,2019
CVE-2019-1010142,https://www.cvedetails.com/cve/CVE-2019-1010142/,5.0,None,None,Partial,Low,Not required,None,Denial Of Service,2019
CVE-2019-1010129,https://www.cvedetails.com/cve/CVE-2019-1010129/,6.8,Partial,Partial,Partial,Medium,Not required,None,Denial Of Service,2019
CVE-2019-1010129,https://www.cvedetails.com/cve/CVE-2019-1010129/,6.8,Partial,Partial,Partial,Medium,Not required,None,Execute Code,2019
CVE-2019-1010127,https://www.cvedetails.com/cve/CVE-2019-1010127/,6.8,Partial,Partial,Partial,Medium,Not required,None,Denial Of Service,2019
CVE-2019-1010127,https://www.cvedetails.com/cve/CVE-2019-1010127/,6.8,Partial,Partial,Partial,Medium,Not required,None,Execute Code,2019
CVE-2019-1010124,https://www.cvedetails.com/cve/CVE-2019-1010124/,4.3,None,Partial,None,Medium,Not required,None,Cross Site Scripting,2019
CVE-2019-1010113,https://www.cvedetails.com/cve/CVE-2019-1010113/,4.3,None,Partial,None,Medium,Not required,None,Cross Site Scripting,2019
CVE-2019-1010112,https://www.cvedetails.com/cve/CVE-2019-1010112/,6.8,Partial,Partial,Partial,Medium,Not required,None,CSRF,2019
CVE-2019-1010104,https://www.cvedetails.com/cve/CVE-2019-1010104/,7.5,Partial,Partial,Partial,Low,Not required,None,Sql Injection,2019
CVE-2019-1010101,https://www.cvedetails.com/cve/CVE-2019-1010101/,7.5,Partial,Partial,Partial,Low,Not required,None,Execute Code,2019
CVE-2019-1010100,https://www.cvedetails.com/cve/CVE-2019-1010100/,6.8,Partial,Partial,Partial,Medium,Not required,None,Execute Code,2019
CVE-2019-1010096,https://www.cvedetails.com/cve/CVE-2019-1010096/,6.8,Partial,Partial,Partial,Medium,Not required,None,CSRF,2019
CVE-2019-1010095,https://www.cvedetails.com/cve/CVE-2019-1010095/,6.8,Partial,Partial,Partial,Medium,Not required,None,CSRF,2019
CVE-2019-1010094,https://www.cvedetails.com/cve/CVE-2019-1010094/,6.8,Partial,Partial,Partial,Medium,Not required,None,CSRF,2019
CVE-2019-1010091,https://www.cvedetails.com/cve/CVE-2019-1010091/,4.3,None,Partial,None,Medium,Not required,None,Execute Code,2019
CVE-2019-1010091,https://www.cvedetails.com/cve/CVE-2019-1010091/,4.3,None,Partial,None,Medium,Not required,None,Cross Site Scripting,2019
CVE-2019-1010083,https://www.cvedetails.com/cve/CVE-2019-1010083/,5.0,None,None,Partial,Low,Not required,None,Denial Of Service,2019
CVE-2019-1010073,https://www.cvedetails.com/cve/CVE-2019-1010073/,6.8,Partial,Partial,Partial,Medium,Not required,None,Overflow,2019
CVE-2019-1010069,https://www.cvedetails.com/cve/CVE-2019-1010069/,4.3,None,None,Partial,Medium,Not required,None,Denial Of Service,2019
CVE-2019-1010069,https://www.cvedetails.com/cve/CVE-2019-1010069/,4.3,None,None,Partial,Medium,Not required,None,Overflow,2019
CVE-2019-1010065,https://www.cvedetails.com/cve/CVE-2019-1010065/,4.3,None,None,Partial,Medium,Not required,None,Overflow,2019
CVE-2019-1010060,https://www.cvedetails.com/cve/CVE-2019-1010060/,7.5,Partial,Partial,Partial,Low,Not required,None,Execute Code,2019
CVE-2019-1010060,https://www.cvedetails.com/cve/CVE-2019-1010060/,7.5,Partial,Partial,Partial,Low,Not required,None,Overflow,2019
CVE-2019-1010057,https://www.cvedetails.com/cve/CVE-2019-1010057/,6.8,Partial,Partial,Partial,Medium,Not required,None,Denial Of Service,2019
CVE-2019-1010057,https://www.cvedetails.com/cve/CVE-2019-1010057/,6.8,Partial,Partial,Partial,Medium,Not required,None,Execute Code,2019
CVE-2019-1010057,https://www.cvedetails.com/cve/CVE-2019-1010057/,6.8,Partial,Partial,Partial,Medium,Not required,None,Overflow,2019
CVE-2019-1010054,https://www.cvedetails.com/cve/CVE-2019-1010054/,6.8,Partial,Partial,Partial,Medium,Not required,None,CSRF,2019
CVE-2019-1010044,https://www.cvedetails.com/cve/CVE-2019-1010044/,7.5,Partial,Partial,Partial,Low,Not required,None,Denial Of Service,2019
CVE-2019-1010044,https://www.cvedetails.com/cve/CVE-2019-1010044/,7.5,Partial,Partial,Partial,Low,Not required,None,Execute Code,2019
CVE-2019-1010044,https://www.cvedetails.com/cve/CVE-2019-1010044/,7.5,Partial,Partial,Partial,Low,Not required,None,Overflow,2019
CVE-2019-1010043,https://www.cvedetails.com/cve/CVE-2019-1010043/,7.5,Partial,Partial,Partial,Low,Not required,None,Denial Of Service,2019
CVE-2019-1010043,https://www.cvedetails.com/cve/CVE-2019-1010043/,7.5,Partial,Partial,Partial,Low,Not required,None,Execute Code,2019
CVE-2019-1010043,https://www.cvedetails.com/cve/CVE-2019-1010043/,7.5,Partial,Partial,Partial,Low,Not required,None,Overflow,2019
CVE-2019-1010039,https://www.cvedetails.com/cve/CVE-2019-1010039/,7.5,Partial,Partial,Partial,Low,Not required,None,Denial Of Service,2019
CVE-2019-1010039,https://www.cvedetails.com/cve/CVE-2019-1010039/,7.5,Partial,Partial,Partial,Low,Not required,None,Execute Code,2019
CVE-2019-1010039,https://www.cvedetails.com/cve/CVE-2019-1010039/,7.5,Partial,Partial,Partial,Low,Not required,None,Overflow,2019
CVE-2019-1010038,https://www.cvedetails.com/cve/CVE-2019-1010038/,7.5,Partial,Partial,Partial,Low,Not required,None,Denial Of Service,2019
CVE-2019-1010038,https://www.cvedetails.com/cve/CVE-2019-1010038/,7.5,Partial,Partial,Partial,Low,Not required,None,Execute Code,2019
CVE-2019-1010038,https://www.cvedetails.com/cve/CVE-2019-1010038/,7.5,Partial,Partial,Partial,Low,Not required,None,Overflow,2019
CVE-2019-1010028,https://www.cvedetails.com/cve/CVE-2019-1010028/,4.3,None,Partial,None,Medium,Not required,None,Cross Site Scripting,2019
CVE-2019-1010025,https://www.cvedetails.com/cve/CVE-2019-1010025/,5.0,Partial,None,None,Low,Not required,None,Bypass a restriction or similar,2019
CVE-2019-1010024,https://www.cvedetails.com/cve/CVE-2019-1010024/,5.0,Partial,None,None,Low,Not required,None,Bypass a restriction or similar,2019
CVE-2019-1010024,https://www.cvedetails.com/cve/CVE-2019-1010024/,5.0,Partial,None,None,Low,Not required,None,Obtain Information,2019
CVE-2019-1010023,https://www.cvedetails.com/cve/CVE-2019-1010023/,6.8,Partial,Partial,Partial,Medium,Not required,None,Execute Code,2019
CVE-2019-1010022,https://www.cvedetails.com/cve/CVE-2019-1010022/,7.5,Partial,Partial,Partial,Low,Not required,None,Overflow,2019
CVE-2019-1010022,https://www.cvedetails.com/cve/CVE-2019-1010022/,7.5,Partial,Partial,Partial,Low,Not required,None,Bypass a restriction or similar,2019
CVE-2019-1010018,https://www.cvedetails.com/cve/CVE-2019-1010018/,4.3,None,Partial,None,Medium,Not required,None,Execute Code,2019
CVE-2019-1010018,https://www.cvedetails.com/cve/CVE-2019-1010018/,4.3,None,Partial,None,Medium,Not required,None,Cross Site Scripting,2019
CVE-2019-1010017,https://www.cvedetails.com/cve/CVE-2019-1010017/,5.0,None,None,Partial,Low,Not required,None,Denial Of Service,2019
CVE-2019-1010016,https://www.cvedetails.com/cve/CVE-2019-1010016/,4.3,None,Partial,None,Medium,Not required,None,Cross Site Scripting,2019
CVE-2019-1010006,https://www.cvedetails.com/cve/CVE-2019-1010006/,6.8,Partial,Partial,Partial,Medium,Not required,None,Execute Code,2019
CVE-2019-1010006,https://www.cvedetails.com/cve/CVE-2019-1010006/,6.8,Partial,Partial,Partial,Medium,Not required,None,Overflow,2019
CVE-2019-1010005,https://www.cvedetails.com/cve/CVE-2019-1010005/,4.3,None,Partial,None,Medium,Not required,None,Execute Code,2019
CVE-2019-1010005,https://www.cvedetails.com/cve/CVE-2019-1010005/,4.3,None,Partial,None,Medium,Not required,None,Cross Site Scripting,2019
CVE-2019-1010004,https://www.cvedetails.com/cve/CVE-2019-1010004/,4.3,None,None,Partial,Medium,Not required,None,Denial Of Service,2019
CVE-2019-1003098,https://www.cvedetails.com/cve/CVE-2019-1003098/,4.3,None,Partial,None,Medium,Not required,None,CSRF,2019
CVE-2019-1003092,https://www.cvedetails.com/cve/CVE-2019-1003092/,4.3,None,Partial,None,Medium,Not required,None,CSRF,2019
CVE-2019-1003090,https://www.cvedetails.com/cve/CVE-2019-1003090/,4.3,None,Partial,None,Medium,Not required,None,CSRF,2019
CVE-2019-1003086,https://www.cvedetails.com/cve/CVE-2019-1003086/,4.3,None,Partial,None,Medium,Not required,None,CSRF,2019
CVE-2019-1003084,https://www.cvedetails.com/cve/CVE-2019-1003084/,4.3,None,Partial,None,Medium,Not required,None,CSRF,2019
CVE-2019-1003082,https://www.cvedetails.com/cve/CVE-2019-1003082/,4.3,None,Partial,None,Medium,Not required,None,CSRF,2019
CVE-2019-1003080,https://www.cvedetails.com/cve/CVE-2019-1003080/,4.3,None,Partial,None,Medium,Not required,None,CSRF,2019
CVE-2019-1003078,https://www.cvedetails.com/cve/CVE-2019-1003078/,4.3,None,Partial,None,Medium,Not required,None,CSRF,2019
CVE-2019-1003076,https://www.cvedetails.com/cve/CVE-2019-1003076/,4.3,None,Partial,None,Medium,Not required,None,CSRF,2019
CVE-2019-1003058,https://www.cvedetails.com/cve/CVE-2019-1003058/,4.3,None,Partial,None,Medium,Not required,None,CSRF,2019
CVE-2019-1003046,https://www.cvedetails.com/cve/CVE-2019-1003046/,4.3,None,Partial,None,Medium,Not required,None,CSRF,2019
CVE-2019-1003041,https://www.cvedetails.com/cve/CVE-2019-1003041/,7.5,Partial,Partial,Partial,Low,Not required,None,Bypass a restriction or similar,2019
CVE-2019-1003040,https://www.cvedetails.com/cve/CVE-2019-1003040/,7.5,Partial,Partial,Partial,Low,Not required,None,Bypass a restriction or similar,2019
CVE-2019-1003023,https://www.cvedetails.com/cve/CVE-2019-1003023/,4.3,None,Partial,None,Medium,Not required,None,Cross Site Scripting,2019
CVE-2019-1003022,https://www.cvedetails.com/cve/CVE-2019-1003022/,4.3,None,None,Partial,Medium,Not required,None,Denial Of Service,2019
CVE-2019-1003021,https://www.cvedetails.com/cve/CVE-2019-1003021/,4.3,Partial,None,None,Medium,Not required,None,Obtain Information,2019
CVE-2019-1003018,https://www.cvedetails.com/cve/CVE-2019-1003018/,4.3,Partial,None,None,Medium,Not required,None,Obtain Information,2019
CVE-2019-1003016,https://www.cvedetails.com/cve/CVE-2019-1003016/,4.3,Partial,None,None,Medium,Not required,None,Obtain Information,2019
CVE-2019-1003015,https://www.cvedetails.com/cve/CVE-2019-1003015/,6.4,Partial,None,Partial,Low,Not required,None,Denial Of Service,2019
CVE-2019-1003012,https://www.cvedetails.com/cve/CVE-2019-1003012/,4.3,None,Partial,None,Medium,Not required,None,Bypass a restriction or similar,2019
CVE-2019-1003012,https://www.cvedetails.com/cve/CVE-2019-1003012/,4.3,None,Partial,None,Medium,Not required,None,CSRF,2019
CVE-2019-1003010,https://www.cvedetails.com/cve/CVE-2019-1003010/,4.3,None,Partial,None,Medium,Not required,None,CSRF,2019
CVE-2019-1003008,https://www.cvedetails.com/cve/CVE-2019-1003008/,6.8,Partial,Partial,Partial,Medium,Not required,None,Execute Code,2019
CVE-2019-1003008,https://www.cvedetails.com/cve/CVE-2019-1003008/,6.8,Partial,Partial,Partial,Medium,Not required,None,CSRF,2019
CVE-2019-1003007,https://www.cvedetails.com/cve/CVE-2019-1003007/,6.8,Partial,Partial,Partial,Medium,Not required,None,Execute Code,2019
CVE-2019-1003007,https://www.cvedetails.com/cve/CVE-2019-1003007/,6.8,Partial,Partial,Partial,Medium,Not required,None,CSRF,2019
CVE-2019-1000024,https://www.cvedetails.com/cve/CVE-2019-1000024/,4.3,None,Partial,None,Medium,Not required,None,Cross Site Scripting,2019
CVE-2019-1000023,https://www.cvedetails.com/cve/CVE-2019-1000023/,7.5,Partial,Partial,Partial,Low,Not required,None,Execute Code,2019
CVE-2019-1000023,https://www.cvedetails.com/cve/CVE-2019-1000023/,7.5,Partial,Partial,Partial,Low,Not required,None,Sql Injection,2019
CVE-2019-1000022,https://www.cvedetails.com/cve/CVE-2019-1000022/,6.8,Partial,Partial,Partial,Medium,Not required,None,CSRF,2019
CVE-2019-1000019,https://www.cvedetails.com/cve/CVE-2019-1000019/,4.3,None,None,Partial,Medium,Not required,None,Denial Of Service,2019
CVE-2019-1000018,https://www.cvedetails.com/cve/CVE-2019-1000018/,4.6,Partial,Partial,Partial,Low,Not required,None,Execute Code,2019
CVE-2019-1000016,https://www.cvedetails.com/cve/CVE-2019-1000016/,4.3,None,None,Partial,Medium,Not required,None,Denial Of Service,2019
CVE-2019-1000015,https://www.cvedetails.com/cve/CVE-2019-1000015/,4.3,None,Partial,None,Medium,Not required,None,Cross Site Scripting,2019
CVE-2019-1000014,https://www.cvedetails.com/cve/CVE-2019-1000014/,6.8,Partial,Partial,Partial,Medium,Not required,None,Execute Code,2019
CVE-2019-1000013,https://www.cvedetails.com/cve/CVE-2019-1000013/,6.8,Partial,Partial,Partial,Medium,Not required,None,Execute Code,2019
CVE-2019-1000012,https://www.cvedetails.com/cve/CVE-2019-1000012/,6.8,Partial,Partial,Partial,Medium,Not required,None,Execute Code,2019
CVE-2019-1000010,https://www.cvedetails.com/cve/CVE-2019-1000010/,4.3,None,Partial,None,Medium,Not required,None,Cross Site Scripting,2019
CVE-2019-1000008,https://www.cvedetails.com/cve/CVE-2019-1000008/,4.3,None,Partial,None,Medium,Not required,None,Directory traversal,2019
CVE-2019-1000007,https://www.cvedetails.com/cve/CVE-2019-1000007/,5.8,None,Partial,Partial,Medium,Not required,None,Denial Of Service,2019
CVE-2019-1000006,https://www.cvedetails.com/cve/CVE-2019-1000006/,7.5,Partial,Partial,Partial,Low,Not required,None,Overflow,2019
CVE-2019-1000005,https://www.cvedetails.com/cve/CVE-2019-1000005/,6.8,Partial,Partial,Partial,Medium,Not required,None,Execute Code,2019
CVE-2019-1000004,https://www.cvedetails.com/cve/CVE-2019-1000004/,4.3,None,Partial,None,Medium,Not required,None,Cross Site Scripting,2019
